"tripdate","time","temperature","wind_speed","wind_degree","wind_dir","weather_code","weather_descriptions","precip","humidity","visibility","pressure","cloudcover","heatindex","dewpoint","windchill","windgust","feelslike","uv_index","totalsnow","avgtemp"
"2014-10-03","900","14","32","294","WNW","302","Moderate rain","1.2","89","7","1002","93","14","12","11","41","11","3","0","13"
"2014-10-04","900","5","31","254","WSW","317","Light sleet","0.2","83","9","1006","100","5","2","0","36","0","1","0.1","6"
"2014-10-05","900","8","22","225","SW","116","Partly cloudy","0","69","10","1007","61","8","3","5","25","5","3","0","10"
"2014-10-06","900","12","24","231","SW","356","Moderate or heavy rain shower","1.4","92","7","1001","69","12","10","9","40","9","3","0","12"
"2014-10-07","900","13","25","215","SW","353","Light rain shower","0.7","93","10","1003","81","13","12","11","35","11","3","0","14"
"2014-10-08","900","13","25","285","WNW","113","Sunny","0","57","10","1016","2","13","4","10","34","10","4","0","13"
"2014-10-09","900","11","12","325","NW","113","Sunny","0","59","10","1019","11","11","4","10","16","10","4","0","12"
"2014-10-10","900","12","8","92","E","113","Sunny","0","70","10","1022","4","12","7","11","9","11","4","0","11"
"2014-10-11","900","12","6","136","SE","113","Sunny","0","67","10","1024","0","12","6","12","7","12","4","0","12"
"2014-10-12","900","10","19","137","SE","113","Sunny","0","73","10","1018","0","10","5","7","25","7","3","0","12"
"2014-10-13","900","16","12","178","S","116","Partly cloudy","0","93","10","1011","55","16","15","16","19","16","5","0","17"
"2014-10-14","900","17","13","152","SSE","176","Patchy rain possible","0.2","84","9","999","14","17","14","17","21","17","4","0","16"
"2014-10-15","900","11","19","340","NNW","266","Light drizzle","0.1","91","2","1006","100","11","10","9","24","9","3","0","12"
"2014-10-16","900","12","11","278","W","116","Partly cloudy","0","84","10","1011","42","12","10","11","13","11","4","0","13"
"2014-10-17","900","13","27","274","W","113","Sunny","0","75","10","1002","9","13","9","11","35","11","4","0","13"
"2014-10-18","900","9","30","342","NNW","266","Light drizzle","0.3","81","2","1017","100","9","6","6","39","6","2","0","9"
"2014-10-19","900","8","16","214","SSW","119","Cloudy","0","75","10","1023","70","8","4","5","21","5","2","0","9"
"2014-10-20","900","11","18","301","WNW","353","Light rain shower","0.4","91","10","1010","91","11","10","9","23","9","3","0","12"
"2014-10-21","900","10","29","0","N","119","Cloudy","0","77","10","1020","77","10","6","7","38","7","3","0","10"
"2014-10-22","900","9","10","102","ESE","113","Sunny","0","80","10","1028","22","9","6","8","13","8","3","0","10"
"2014-10-23","900","9","16","196","SSW","113","Sunny","0","81","10","1023","2","9","6","7","21","7","3","0","11"
"2014-10-24","900","13","5","259","WSW","116","Partly cloudy","0","90","10","1018","57","13","11","13","7","13","4","0","14"
"2014-10-25","900","15","19","298","WNW","113","Sunny","0","81","10","1013","11","15","11","13","30","13","4","0","15"
"2014-10-26","900","13","6","328","NNW","113","Sunny","0","58","10","1016","0","13","5","13","7","13","4","0","13"
"2014-10-27","900","16","26","191","S","119","Cloudy","0","92","10","1005","75","16","15","16","44","16","4","0","17"
"2014-10-28","900","13","27","258","WSW","113","Sunny","0","69","10","1009","2","13","7","10","36","10","4","0","13"
"2014-10-29","900","8","23","297","WNW","113","Sunny","0","65","10","1018","13","8","2","4","30","4","3","0","8"
"2014-10-30","900","7","14","211","SSW","116","Partly cloudy","0","65","10","1020","61","7","1","5","19","5","3","0","8"
"2014-10-31","900","4","55","346","NNW","317","Light sleet","0.3","76","9","1020","100","4","0","-3","70","-3","1","0","4"
"2014-11-01","900","4","26","27","NNE","119","Cloudy","0","70","10","1031","69","4","-1","-1","32","-1","1","0","4"
"2014-11-02","900","4","21","183","S","113","Sunny","0","61","10","1030","3","4","-3","-1","27","-1","2","0","6"
"2014-11-03","900","8","32","213","SSW","116","Partly cloudy","0","77","10","1020","27","8","5","4","44","4","3","0","11"
"2014-11-04","900","12","30","229","SW","122","Overcast","0","93","10","1013","100","12","11","10","47","10","3","0","11"
"2014-11-05","900","8","11","220","SW","116","Partly cloudy","0","80","10","1021","35","8","4","6","15","6","3","0","10"
"2014-11-06","900","7","41","320","NW","266","Light drizzle","0.1","83","2","1010","100","7","4","1","52","1","2","0","6"
"2014-11-07","900","3","14","255","WSW","323","Patchy light snow","0","75","10","1023","16","3","-1","0","18","0","1","0","4"
"2014-11-08","900","7","36","312","NW","119","Cloudy","0","79","10","1010","85","7","4","2","45","2","2","0","6"
"2014-11-09","900","5","30","204","SSW","116","Partly cloudy","0","72","10","1013","33","5","0","-1","38","-1","2","0","6"
"2014-11-10","900","8","27","159","SSE","116","Partly cloudy","0","85","10","1008","53","8","6","4","36","4","3","0","10"
"2014-11-11","900","7","33","282","WNW","296","Light rain","0.9","91","9","1005","100","7","6","3","44","3","2","0","6"
"2014-11-12","900","-2","21","282","WNW","113","Sunny","0","56","10","1027","4","-2","-9","-8","25","-8","2","0","-1"
"2014-11-13","900","-3","23","290","WNW","113","Sunny","0","61","10","1028","14","-3","-9","-9","28","-9","2","0.4","-2"
"2014-11-14","900","-3","18","294","WNW","371","Moderate or heavy snow showers","0.1","74","7","1029","76","-3","-7","-8","22","-8","1","0.3","-3"
"2014-11-15","900","-3","14","234","SW","113","Sunny","0","64","10","1029","9","-3","-9","-8","18","-8","2","0","-2"
"2014-11-16","900","-1","19","210","SSW","323","Patchy light snow","0","76","10","1020","46","-1","-4","-6","24","-6","1","0.5","0"
"2014-11-17","900","-7","29","281","WNW","116","Partly cloudy","0","68","10","1013","25","-7","-12","-16","34","-16","2","0","-7"
"2014-11-18","900","-10","38","266","W","227","Blowing snow","0","79","2","1021","89","-10","-13","-20","43","-20","1","0.1","-8"
"2014-11-19","900","-3","30","210","SSW","230","Blizzard","0.4","91","0","1008","100","-3","-4","-10","36","-10","1","0","-2"
"2014-11-20","900","-5","33","277","W","326","Light snow","0","75","10","1018","69","-5","-9","-13","38","-13","1","0","-4"
"2014-11-21","900","-6","10","199","SSW","113","Sunny","0","66","10","1032","4","-6","-11","-10","12","-10","2","0","-3"
"2014-11-22","900","4","28","206","SSW","266","Light drizzle","0.3","95","2","1018","98","4","3","-1","45","-1","1","0","6"
"2014-11-23","900","9","28","184","S","119","Cloudy","0","93","10","1007","66","9","8","6","50","6","2","0","9"
"2014-11-24","900","5","37","258","WSW","302","Moderate rain","1.7","94","7","988","100","6","5","0","52","0","2","0","3"
"2014-11-25","900","-5","26","272","W","119","Cloudy","0","88","10","1019","65","-5","-7","-12","32","-12","1","0.1","-4"
"2014-11-26","900","-3","12","141","SE","116","Partly cloudy","0","76","10","1022","30","-4","-7","-8","17","-8","2","0.1","-3"
"2014-11-27","900","-3","28","303","WNW","230","Blizzard","0","89","0","1028","100","-3","-5","-10","36","-10","1","0.1","-4"
"2014-11-28","900","-5","25","179","S","116","Partly cloudy","0","76","10","1025","34","-5","-8","-12","32","-12","2","0","-2"
"2014-11-29","900","3","27","187","S","122","Overcast","0","98","10","1008","99","3","2","-3","45","-3","1","0","5"
"2014-11-30","900","8","19","240","WSW","119","Cloudy","0","97","10","1007","70","8","8","5","39","5","2","0","6"
"2014-12-01","900","-5","26","332","NNW","116","Partly cloudy","0","54","10","1037","47","-5","-13","-13","31","-13","2","0","-6"
"2014-12-02","900","-3","18","161","SSE","113","Sunny","0","65","10","1027","4","-3","-8","-8","23","-8","2","0","-1"
"2014-12-03","900","-1","28","275","W","113","Sunny","0","78","10","1023","2","-1","-4","-8","36","-8","2","0","0"
"2014-12-04","900","0","16","88","E","119","Cloudy","0","74","10","1030","77","0","-4","-5","22","-5","1","0","0"
"2014-12-05","900","1","9","191","S","122","Overcast","0","89","10","1024","95","2","0","-1","13","-1","1","0","2"
"2014-12-06","900","3","32","14","NNE","116","Partly cloudy","0","80","10","1032","47","3","0","-3","46","-3","2","0","3"
