"trial","sim","display","feedback","totalFlow","simFlow","simPickup","simProb","predFlow","predPickup","predProb","ds"
1,350,1,1,753,"375,223,155",510,0.677290836653386,"161,346,246",524,0.695883134130146,5.49778890609741
2,350,0,0,774,"400,205,169",502,0.648578811369509,"162,356,256",530,0.684754521963824,8.60947227478027
2,350,0,1,774,"355,227,192",513,0.662790697674419,"162,356,256",530,0.684754521963824,2.71240544319153
2,350,1,0,774,"383,208,183",504,0.651162790697674,"162,356,256",530,0.684754521963824,5.70537614822388
2,350,1,1,774,"383,205,186",503,0.649870801033592,"162,356,256",530,0.684754521963824,5.78996610641479
3,350,0,0,849,"407,214,228",509,0.599528857479388,"191,372,286",557,0.656065959952886,6.01279067993164
3,350,0,1,849,"373,259,217",528,0.621908127208481,"191,372,286",557,0.656065959952886,2.24344372749329
3,350,1,0,849,"407,212,230",509,0.599528857479388,"191,372,286",557,0.656065959952886,5.97502708435059
3,350,1,1,849,"392,224,233",514,0.605418138987044,"191,372,286",557,0.656065959952886,4.15222787857056
4,350,0,0,733,"319,246,168",520,0.709413369713506,"189,260,284",507,0.691678035470669,4.4635796546936
4,350,0,1,733,"279,272,182",532,0.725784447476125,"189,260,284",507,0.691678035470669,0.87292492389679
4,350,1,0,733,"316,219,198",510,0.695770804911323,"189,260,284",507,0.691678035470669,2.84256458282471
4,350,1,1,733,"253,267,213",532,0.725784447476125,"189,260,284",507,0.691678035470669,2.26536989212036
5,350,0,0,820,"424,240,156",517,0.630487804878049,"147,350,323",521,0.635365853658537,10.178900718689
5,350,0,1,820,"407,226,187",512,0.624390243902439,"147,350,323",521,0.635365853658537,9.71916389465332
5,350,1,0,820,"404,219,197",510,0.621951219512195,"147,350,323",521,0.635365853658537,9.74999332427979
5,350,1,1,820,"394,262,164",527,0.642682926829268,"147,350,323",521,0.635365853658537,6.22937536239624
6,350,0,0,796,"419,197,180",499,0.626884422110553,"200,337,259",547,0.687185929648241,16.4131698608398
6,350,0,1,796,"354,234,208",516,0.648241206030151,"200,337,259",547,0.687185929648241,2.39895820617676
6,350,1,0,796,"337,258,201",527,0.662060301507538,"200,337,259",547,0.687185929648241,0.262175798416138
6,350,1,1,796,"361,209,226",506,0.635678391959799,"200,337,259",547,0.687185929648241,3.39103078842163
7,350,0,0,677,"234,261,182",527,0.778434268833087,"176,255,246",494,0.729689807976366,0.675072371959686
7,350,0,1,677,"231,233,213",517,0.763663220088626,"176,255,246",494,0.729689807976366,2.58676624298096
7,350,1,0,677,"310,216,151",505,0.745937961595273,"176,255,246",494,0.729689807976366,6.68654727935791
7,350,1,1,677,"286,206,185",503,0.742983751846381,"176,255,246",494,0.729689807976366,2.26011538505554
8,350,0,0,598,"307,137,154",459,0.767558528428094,"129,253,216",460,0.769230769230769,8.58107852935791
8,350,0,1,598,"268,138,192",463,0.774247491638796,"129,253,216",460,0.769230769230769,2.2825722694397
8,350,1,0,598,"270,197,131",478,0.79933110367893,"129,253,216",460,0.769230769230769,1.87438023090363
8,350,1,1,598,"283,166,149",482,0.806020066889632,"129,253,216",460,0.769230769230769,4.63070106506348
9,350,0,0,680,"319,190,171",495,0.727941176470588,"175,265,240",497,0.730882352941176,6.38281106948853
9,350,0,1,680,"289,196,195",500,0.735294117647059,"175,265,240",497,0.730882352941176,2.37208986282349
9,350,1,0,680,"308,236,136",500,0.735294117647059,"175,265,240",497,0.730882352941176,7.80662155151367
9,350,1,1,680,"291,217,172",507,0.745588235294118,"175,265,240",497,0.730882352941176,2.18226671218872
10,350,0,0,847,"407,256,184",525,0.619834710743802,"194,380,273",562,0.663518299881936,5.02492904663086
10,350,0,1,847,"389,216,242",510,0.602125147579693,"194,380,273",562,0.663518299881936,2.5041766166687
10,350,1,0,847,"432,248,167",521,0.615112160566706,"194,380,273",562,0.663518299881936,11.4925842285156
10,350,1,1,847,"398,254,195",525,0.619834710743802,"194,380,273",562,0.663518299881936,2.82867217063904
11,350,0,0,643,"344,183,116",457,0.710730948678072,"117,298,228",473,0.735614307931571,8.54272079467773
11,350,0,1,643,"279,183,181",493,0.766718506998445,"117,298,228",473,0.735614307931571,8.08311939239502
11,350,1,0,643,"318,199,126",474,0.737169517884914,"117,298,228",473,0.735614307931571,3.99722170829773
