"trial","sim","display","feedback","totalFlow","simFlow","simPickup","simProb","predFlow","predPickup","predProb","ds"
9,2,0,0,733,"249,220,264",513,0.699863574351978,"189,260,284",507,0.691678035470669,2.649010181427
9,2,0,1,733,"220,219,294",510,0.695770804911323,"189,260,284",507,0.691678035470669,1.73351097106934
9,2,1,0,733,"234,259,240",529,0.721691678035471,"189,260,284",507,0.691678035470669,3.09924149513245
9,2,1,1,733,"195,216,322",493,0.672578444747613,"189,260,284",507,0.691678035470669,3.43576741218567
10,2,0,0,849,"322,282,245",539,0.634864546525324,"191,372,286",557,0.656065959952886,7.91097497940063
10,2,0,1,849,"342,147,360",481,0.566548881036514,"191,372,286",557,0.656065959952886,7.64053821563721
10,2,1,0,849,"332,263,254",532,0.626619552414605,"191,372,286",557,0.656065959952886,7.51281261444092
10,2,1,1,849,"315,233,301",521,0.613663133097762,"191,372,286",557,0.656065959952886,7.39052867889404
11,2,0,0,598,"240,160,198",484,0.809364548494983,"129,253,216",460,0.769230769230769,4.10496759414673
11,2,0,1,598,"238,111,249",439,0.734113712374582,"129,253,216",460,0.769230769230769,3.27887463569641
11,2,1,0,598,"236,184,178",493,0.824414715719064,"129,253,216",460,0.769230769230769,5.08120727539062
11,2,1,1,598,"221,165,212",482,0.806020066889632,"129,253,216",460,0.769230769230769,5.26666641235352
12,2,0,0,820,"356,238,226",519,0.632926829268293,"147,350,323",521,0.635365853658537,9.03161525726318
12,2,0,1,820,"321,153,346",486,0.592682926829268,"147,350,323",521,0.635365853658537,1.40638065338135
12,2,1,0,820,"346,249,225",524,0.639024390243902,"147,350,323",521,0.635365853658537,9.82679748535156
12,2,1,1,820,"315,215,290",513,0.625609756097561,"147,350,323",521,0.635365853658537,11.5198364257812
13,2,0,0,635,"205,186,244",482,0.759055118110236,"153,249,233",476,0.749606299212598,2.79193210601807
13,2,0,1,635,"208,177,250",481,0.75748031496063,"153,249,233",476,0.749606299212598,2.11840462684631
13,2,1,0,635,"222,195,218",496,0.781102362204724,"153,249,233",476,0.749606299212598,3.8337938785553
13,2,1,1,635,"191,185,259",474,0.746456692913386,"153,249,233",476,0.749606299212598,2.32738637924194
14,2,0,0,774,"307,211,256",509,0.657622739018088,"162,356,256",530,0.684754521963824,9.18149948120117
14,2,0,1,774,"298,142,334",474,0.612403100775194,"162,356,256",530,0.684754521963824,4.60978269577026
14,2,1,0,774,"285,257,232",528,0.682170542635659,"162,356,256",530,0.684754521963824,11.2537250518799
14,2,1,1,774,"287,228,259",517,0.667958656330749,"162,356,256",530,0.684754521963824,11.0361251831055
15,2,0,0,643,"252,187,204",496,0.771384136858476,"117,298,228",473,0.735614307931571,11.1909151077271
15,2,0,1,643,"236,144,263",472,0.734059097978227,"117,298,228",473,0.735614307931571,6.90622138977051
15,2,1,0,643,"254,193,196",498,0.774494556765163,"117,298,228",473,0.735614307931571,11.1197576522827
15,2,1,1,643,"236,159,248",486,0.755832037325039,"117,298,228",473,0.735614307931571,9.33066177368164
0,3,0,0,863,"423,217,223",510,0.590961761297798,"198,375,290",563,0.652375434530707,7.96945571899414
0,3,0,1,863,"436,257,170",524,0.607184241019699,"198,375,290",563,0.652375434530707,12.2437410354614
0,3,1,0,863,"419,254,190",524,0.607184241019699,"198,375,290",563,0.652375434530707,7.11937761306763
